#HOLDING SHELL RIGHT
12621	275	120	290	135	0	
12622	245	120	260	135	0

#HOLDING SHELL JUMP LEFT & RIGHT
12713	155	120	170	135	0
12717	275	120	290	135	0

#KICK LEFT & RIGHT
12811	5	80	20	95	0
12812	425	80	440	95	0

############ RACOON ################

#IDLE
13121	243	634	264	661	0
13111	183	634	202	661	0

#WALKING RIGHT
13222	272	634	293	661	0
13223	303	634	324	661	0

#WALKING LEFT
13212	152	634	173	661	0
13213	122	634	143	661	0

#RUNNING RIGHT
13321	331	634	354	661	0
13322	362	634	385	661	0
13323	393	634	412	661	0

#RUNNING LEFT
13311	91	634	112	661	0
13312	61	634	84	661	0
13313	32	634	53	661	0

#JUMP WALK RIGHT
13417	392	754	415	781	0
13413	31	754	54	781	0

#JUMP RUN RIGHT & LEFT
13427	361	754	384	781	0
13423	61	754	84	781	0

#SIT RIGHT & LEFT 
13520	392	678	413	695	0
13521	392	719	413	736	0
13522	422	719	443	736	0

13510	32	678	53	695	0
13511	32	719	53	736	0
13512	2	719	23	736	0

#BRACE RIGHT & LEFT 
13621	425	633	442	662	0
13611	5	633	22	662	0

#HOLDING SHELL LEFT
13610	122	794	143	821	0
13611	152	794	173	821	0
13612	182	794	203	821	0

#HOLDING SHELL RIGHT
13620	302	794	323	821	0
13621	272	794	293	821	0	
13622	242	794	263	821	0

#HOLDING SHELL JUMP LEFT & RIGHT
13713	122	794	143	821	0
13717	302	794	323	821	0

#KICK LEFT & RIGHT
13811	2	754	23	781	0
13812	422	754	443	781	0


# TAIL SPIN LEFT & RIGHT
13910	34	875	55	902	0
13911	215	674	230	701	0
13912	59	875	80	902	0
13913	215	634	230	661	0

13920	59	875	80	902	0
13921	215	674	230	701	0
13922	34	875	55	902	0
13923	215	634	230	661	0



a

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
400	11121	100
401	11111	100

#WALKING RIGHT & LEFT 
500	11121	100	11222	100	11223	100
501	11111	100	11212	100	11213	100

#RUNNING RIGHT & LEFT
600	11321	50	11322	50	11323	50
601	11311	50	11312	50	11313	50

#JUMP WALK
700	11417	100
701	11413	100

#JUMP RUN
800	11427	100
801	11423	100

#SIT RIGHT & LEFT 
900	11521	100
901	11511	100

#BRACE RIGHT & LEFT 
1000	11621	100
1001	11611	100

#HOLDING SHELL RUN
1010	11610	100	11611	100	11612	100
1011	11620	100	11621	100	11622	100

#HOLDING SHELL JUMP
1020	11713	100
1021	11717	100

#KICK
1030	11811	100
1031	11812	100

#HOLDING SHELL IDLE
1040	11610	100
1041	11620	100


#DIE
999	13001	100

################### SMALL #################
1100	12121	100
1102	12111	100


#WALK LEFT & RIGHT 
1200	12121	100	12222	100	12223	100
1201	12111	100	12212	100	12213	100

#RUN LEFT & RIGHT
1300	12321	100	12322	100	12323	100
1301	12311	100	12312	100	12313	100

#BRACE LEFT & RIGHT
1401	12511	100
1400	12521	100

#JUMP WALK
1500	12417	100
1501	12413	100

#JUMP RUN 
1601	12423	100
1600	12427	100

#HOLDING SHELL RUN
1700	12611	100	12612	100
1701	12621	100	12622	100

#HOLDING SHELL JUMP
1800	12713	100
1801	12717	100

#KICK
1900	12811	100
1901	12812	100

#HOLDING SHELL IDLE
1910	12612	100
1911	12622	100

################### RACOON #################

2400	13121	100
2401	13111	100

#WALKING RIGHT & LEFT 
2500	13121	100	13222	100	13223	100
2501	13111	100	13212	100	13213	100

#RUNNING RIGHT & LEFT
2600	13321	50	13322	50	13323	50
2601	13311	50	13312	50	13313	50

#JUMP WALK
2700	13417	100
2701	13413	100

#JUMP RUN
2800	13427	100
2801	13423	100

#SIT RIGHT & LEFT 
2900	13520	100	13521	100	13522	100
2901	13510	100	13511	100	13512	100

#BRACE RIGHT & LEFT 
2000	13621	100
2001	13611	100

#HOLDING SHELL RUN
2010	13610	100	13611	100	13612	100
2011	13620	100	13621	100	13622	100

#HOLDING SHELL JUMP
2020	13713	100
2021	13717	100

#KICK
2030	13811	100
2031	13812	100

#HOLDING SHELL IDLE
2040	13610	100
2041	13620	100


# TAIL SPIN LEFT
2100	13910	100	13911	100	13912	100	13913	100

# TAIL SPIN RIGHT
2101	13920	100	13921	100	13922	100	13923	100






